Country,Year,GDP ($),GDP/Capita ($),No.Suicides,Population,Suicides_rate/100k pop
Albania,1987,2156624900,796,73,2709600,2.6941245940360203
Albania,1988,2126000000,769,63,2764300,2.279057989364396
Albania,1989,2335124988,833,68,2803100,2.4258856266276623
Albania,1992,709452584,251,47,2822500,1.6651904340124002
Albania,1993,1228071038,437,73,2807300,2.60036333843907
Albania,1994,1985673798,697,50,2849300,1.7548169725897587
Albania,1995,2424499009,835,88,2903400,3.03092925535579
Albania,1996,3314898292,1127,89,2940200,3.0270049656485956
Albania,1997,2359903108,793,170,2977300,5.709871359957008
Albania,1998,2707123772,899,154,3012700,5.111693829455306
Albania,1999,3414760915,1127,139,3029700,4.587912994685943
Albania,2000,3632043908,1299,54,2796300,1.931123270035404
Albania,2001,4060758804,1451,119,2799349,4.250988354792489
Albania,2002,4435078648,1573,133,2818839,4.718254572183796
Albania,2003,5746945913,2021,124,2843929,4.360165109607167
Albania,2004,7314865176,2544,146,2874991,5.078276766779444
Albania,2005,8158548717,2931,0,2783320,0.0
Albania,2006,8992642349,3235,0,2780176,0.0
Albania,2007,10701011897,3863,124,2770344,4.47597843444713
Albania,2008,12881352688,4672,160,2757059,5.803285312356391
Albania,2009,12044212904,4387,0,2745735,0.0
Albania,2010,11926953259,4359,96,2736025,3.5087398689704954
Antigua and Barbuda,1985,240923926,3850,0,62574,0.0
Antigua and Barbuda,1986,290440148,4740,0,61270,0.0
Antigua and Barbuda,1987,337174852,5595,0,60261,0.0
Antigua and Barbuda,1988,398637741,6693,0,59564,0.0
Antigua and Barbuda,1989,438794778,7407,0,59238,0.0
Antigua and Barbuda,1990,459469074,7744,1,59334,1.6853743216368355
Antigua and Barbuda,1991,481706333,7976,0,60394,0.0
Antigua and Barbuda,1992,499281148,8087,0,61741,0.0
Antigua and Barbuda,1993,535172778,8453,1,63315,1.5794045644791912
Antigua and Barbuda,1994,589429593,9062,0,65044,0.0
Antigua and Barbuda,1995,577280741,8636,0,66846,0.0
Antigua and Barbuda,1998,727860593,10078,0,72225,0.0
Antigua and Barbuda,1999,766198926,10378,0,73832,0.0
Antigua and Barbuda,2000,830158778,11021,2,75326,2.6551257202028515
Antigua and Barbuda,2001,800740259,10468,2,76497,2.614481613658052
Antigua and Barbuda,2002,814615333,10499,0,77588,0.0
Antigua and Barbuda,2003,855643111,10878,1,78658,1.2713265020722622
Antigua and Barbuda,2004,919577148,11535,2,79722,2.508717794335315
Antigua and Barbuda,2005,1022191296,12649,0,80809,0.0
Antigua and Barbuda,2006,1157005444,14114,0,81973,0.0
Antigua and Barbuda,2007,1311401333,15775,1,83131,1.2029206914388135
Antigua and Barbuda,2008,1368431037,16238,0,84273,0.0
Antigua and Barbuda,2009,1224253000,14335,0,85405,0.0
Antigua and Barbuda,2012,1211411704,13657,0,88703,0.0
Antigua and Barbuda,2013,1192925407,13287,0,89779,0.0
Antigua and Barbuda,2014,1280133333,14093,0,90837,0.0
Antigua and Barbuda,2015,1364863037,14853,1,91889,1.0882695426003113
Argentina,1985,88416668900,3264,1988,27090800,7.338284583696311
Argentina,1986,110934442763,4072,2284,27244400,8.383374198000324
Argentina,1987,111106191358,4026,2286,27599400,8.28278875627731
Argentina,1988,126206817196,4458,2354,28308000,8.315670481842588
Argentina,1989,76636898036,2670,2247,28702000,7.828722737091492
Argentina,1990,141352368715,4859,2140,29091100,7.356201724926181
Argentina,1991,189719984268,6404,1951,29623000,6.586098639570603
